id,border_values
0,mc042,"[[1, 360], [1, 360]]"
1,mc124,"[[156, 167], [352, 1]]"
2,mc143,"[[260, 265]]"
3,mc171,"[[89, 123], [291, 327], [338, 345]]"
4,mc174,"[[91, 101], [280, 290]]"
5,mc190,"[[79, 89], [265, 271]]"
6,mc221,"[[121, 129], [307, 315]]"
7,mc145,"[[62, 23]]"
8,mc077,"[[41, 176], [253, 272], [294, 36]]"
9,mc010,"[[153, 159], [210, 215], [289, 291]]"
10,mc018,"[[69, 76], [151, 152], [159, 212], [241, 241]]"
11,mc115,"[[15, 41]]"
12,mc117,"[[115, 121], [302, 311]]"
13,mc282,"[[153, 161], [340, 344]]"
14,mc027,"[[12, 30], [203, 217], [285, 351], [359, 8]]"
15,mc032,"[[1, 360], [1, 360]]"
