,id,GVI_25,GVI_50,GVI_100,GVI_200
0,MC 042,4.05,3.672,3.57,3.171
1,MC 124,2.521,2.224,2.558,3.589
2,MC 143,1.3,1.446,1.793,1.66
3,MC 171,0.546,0.499,0.492,0.772
4,MC 174,1.012,1.865,2.403,2.275
5,MC 190,0.292,0.327,0.344,0.472
6,MC 221,0.82,0.962,1.244,1.749
7,MC 145,16.366,16.356,16.155,17.965
8,MC 077,18.936,17.993,14.902,14.145
9,MC 010,2.714,2.341,2.133,2.418
10,MC 018,2.052,2.968,3.374,3.692
11,MC 115,1.186,1.048,0.926,1.584
12,MC 117,3.107,2.806,3.021,3.149
13,MC 282,3.228,3.797,3.803,3.317
14,MC 027,1.647,1.471,1.511,2.297
15,MC 032,16.615,16.615,16.741,16.048
